id,name,description,picture_url,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,reviews_per_month,region,cleaned_name
863139,EnsuiteK w Balcony view/access/chill,"- Personal Balcony space with great views<br />- Airconditioned, Lockable BED-room & Fully Private <br />- Personal Shower cubicle & water basin<br />- Queen-Size / Double-bed, study table + chair, Cable TV<br />- Basic Bedsheet / Towel<br />- Free wifi 1gbps<br />- Note: Toilet Bowl WC x2 at kitchen rear",https://a0.muscache.com/pictures/miso/Hosting-863139/original/9bf97b1c-aadc-4117-9b28-d5f9cd36826c.jpeg,Kallang,1.3092,103.86339,Private room in rental unit,Private room,1,1 private bath,1,1,59,92,2,5,5,4.5,5,5,5,5,TRUE,FALSE,within a day,86%,100%,0.02,Central Region,Kallang private room
881253,Chinatown Doorstep! *Ensuite1+1 (Not for Tourist),"1. Private living room space with cable-TV and sofa<br />+ 1. Lockable Room & Fully Private <br />+ Airconditioned <br />+ WOW city view from your bedroom window!<br />+ PERSONAL Shower cubicle inside bedroom<br />+ Queen-Size / Double-bed, study table + chair, your own bar fridge<br />+ Bedsheet / Towel<br />+ Free/Unlimited wifi<br />- note toilet outside bedroom<br />- note 4 other housemates in this shared duplex apartment",https://a0.muscache.com/pictures/368f17a7-fb72-4bb5-a84f-4ec3f0c97627.jpg,Outram,1.28485,103.84317,Private room in rental unit,Private room,1,1 private bath,1,1,79,92,3,4,4,3.67,4.67,4.67,4.67,4.33,TRUE,FALSE,within a day,86%,100%,0.02,Central Region,Outram private room
915275,Ensuite M1B within Heritage apartment,"This Room's features include:<br />- Lockable BED-room & Fully Private (no sharing with strangers)<br />- Airconditioned + Private Bathroom <br />- DoubleBed, study table + chair, Cable TV<br />- Simple Bedsheet & Towel<br />- Unlimited wifi 1gbps<br />- 7 other house mates live in this huge apartment",https://a0.muscache.com/pictures/f38659b7-f0f5-4be4-85ad-546699223b15.jpg,Kallang,1.31208,103.85846,Private room in rental unit,Private room,1,1 private bath,1,1,67,92,2,4.5,4.5,4,4.5,4.5,5,4,TRUE,FALSE,within a day,86%,100%,0.02,Central Region,Kallang private room
962594,EnsuiteP with Balcony View/Access/Chill,"- Personal Balcony space with great views<br />- Airconditioned, Lockable BED-room & Fully Private <br />- Personal Shower cubicle & water basin<br />- Queen-Size / Double-bed, study table + chair, Cable TV<br />- Basic Bedsheet / Towel<br />- Free wifi 1gbps<br />- Note: Toilet Bowl WC x2 at kitchen rear",https://a0.muscache.com/pictures/miso/Hosting-962594/original/fb29236d-cb3e-46e1-9544-330b74dec398.jpeg,Kallang,1.30663,103.86243,Private room in rental unit,Private room,1,1 private bath,1,1,59,92,2,5,4.5,4,5,5,5,4,TRUE,FALSE,within a day,86%,100%,0.03,Central Region,Kallang private room
982909,Amazing Sunset Home @ Central Area,Home sweet home. That's exactly you will feel when you're at Yuan's cozy apartment!,https://a0.muscache.com/pictures/airflow/Hosting-982909/original/fd0f247d-fb6b-4148-ab34-b90379ee0cd4.jpg,Novena,1.33389,103.83454,Private room in condo,Private room,1,1 private bath,1,1,85,92,247,4.87,4.92,4.91,4.94,4.92,4.78,4.81,FALSE,FALSE,within an hour,100%,50%,1.73,Central Region,Amazing Sunset Home Central Area
1024986,Super Host Apartment,"A beautiful apartment conveniently located along Robertson Quay, with proximity to facilities like restaurants and night-spots. Soak in the nightlife at popular entertainment pubs and restaurants along Mohamed sultan road, Boat Quay, Clarke Quay all within walking distance.<br /><br />Fully furnished with functional kitchen, 1 bedroom, 2 balconies. Do check out my guests reviews of my apartment",https://a0.muscache.com/pictures/84f31588-0761-4ad4-92f3-c2190aa586fc.jpg,River Valley,1.29245,103.83742,Entire condo,Entire home/apt,2,1 bath,1,1,190,92,258,4.84,4.89,4.78,4.93,4.95,4.84,4.73,FALSE,FALSE,,,,1.9,Central Region,Super Host Apartment
1242205,Large 3 Bedroom Heritage Shophouse,"Nestled in a heritage-rich estate, our house offers a boutique-hotel experience just 10 minutes from both the town and the airport. We take pride in offering a piece of history with Rococo-style influences from the 1930s. Our shophouse boasts of a spacious living and dining area, fully equipped kitchen, and lots of things for children to play and read. We have the ultimate convenience of nearby amenities, including grocery shops, eateries, yoga classes, and a movie theatre.",https://a0.muscache.com/pictures/20267860/3c1539a2_original.jpg,Marine Parade,1.30907,103.9018,Entire townhouse,Entire home/apt,6,4.5 baths,3,3,470,92,8,4.75,4.88,4.63,4.5,4.88,4.63,4.63,FALSE,FALSE,,,,0.06,Central Region,Large 3brm Heritage Shophouse
1261443,Great viewC Ensuite 1 + 1 @CBD/Chinatown (Not-Tourist),"1. Private living room space with cable-TV and sofa<br />+ 1. Lockable Room & Fully Private <br />+ Airconditioned <br />+ PERSONAL Bathroom<br />+ Queen-Size / Double-bed, study table + chair, your own bar fridge<br />+ Bedsheet / Towel<br />+ Free/Unlimited wifi<br />- Note this is Apartment-sharing, 3 other expats live in same apartment in their own master bedrooms.<br />- Note: toilet cubicle outside bedroom",https://a0.muscache.com/pictures/6bd29cb7-4d9a-4071-86b5-59f500fd2b6b.jpg,Outram,1.28458,103.84311,Private room in rental unit,Private room,1,1 private bath,1,1,79,92,2,5,5,5,5,5,5,5,TRUE,FALSE,within a day,86%,100%,0.02,Central Region,Outram private room
1363204,Chinatown at your door: Master Rm* attach bathroom,"- Lockable Room & Fully Private<br />- Airconditioned, PERSONAL Bathroom + toilet in the room<br />- Doublebed, study table, chair, wardrobes x 2, bar fridge<br />- Simple Bedsheet, Towel<br />- Free Wifi 1gbps<br />- There's 2 non-ensuite, 2 ensuites in this shared big duplex apartment housing 6 expats/occupants<br />- soap and bath gels NOT provided",https://a0.muscache.com/pictures/b96fffdd-03e5-4949-a353-d6795f7e1fe5.jpg,Outram,1.28386,103.84238,Private room in rental unit,Private room,1,1 private bath,1,1,69,92,3,4,4.33,3,4.67,4.67,5,4.33,TRUE,FALSE,within a day,86%,100%,0.02,Central Region,Outram private room
1495386,Private room with balcony nr beach,"A spacious room with minifridge, aircon, fan, and wardrobe.  5 mins walk to OFS INTL School, park and a beautiful beach with eateries. Short walk to the main road for access to public transport and amenities. 1 hour from city. Excellent location for couples who prefer a quiet home",https://a0.muscache.com/pictures/22047778/1ec96b78_original.jpg,Pasir Ris,1.37975,103.94375,Private room in earthen home,Private room,2,1 bath,1,1,50,92,10,4.7,4.7,4.9,4.8,5,4.3,4.6,FALSE,FALSE,,,100%,0.07,East Region,Private room
1508829,Lavender QueenBed 5m walk MRT,"- Airconditioned Double-bed/Queen-size room, wardrobe, desk, chair<br />- Lockable Room & Fully Private (no sharing with strangers)<br />- Bedsheet and Pillow provided, Free access to wifi unlimited 1gpbs<br />- Access to three shared bathrooms<br />- This is a room within a shared apartment of 7 occupants",https://a0.muscache.com/pictures/29bcb4f8-8dea-493a-8d2d-0a044d6aa642.jpg,Kallang,1.3072,103.86359,Private room in rental unit,Private room,1,3 shared baths,1,1,59,92,7,4.14,4.29,4.43,4.83,4.57,4.83,4.17,TRUE,FALSE,within a day,86%,100%,0.06,Central Region,Lavender QueenBed rmFr 5m walk
1615074,AweSome view! Ensuite 1+1 @Chinatown,"+ Private living room space with cable-TV and sofa cordoned by curtains<br />+ Lockable bedRoom & Fully Private, Airconditioned <br />+ PERSONAL Shower cubicle beside living room<br />+ Personal washer/dryer machine<br />+ Queen-Size / Double-bed, study table + chair, your own bar fridge<br />+ Bedsheet / Towel<br />+ Free/Unlimited wifi<br />- Note: toilet cubicle & wash basin outside bedroom<br />- Note: 4 other housemates in this huge duplex in their private rooms",https://a0.muscache.com/pictures/6279dd62-7eda-402a-bd26-6ced155aa837.jpg,Outram,1.2841,103.84253,Private room in rental unit,Private room,1,1.5 baths,1,1,79,92,5,4.4,4.6,4.2,5,5,4.8,4.2,TRUE,FALSE,within a day,86%,100%,0.06,Central Region,Outram private room
1941719,Fantastic Serviced Apartment in the Singapore CBD,"Fantastic central serviced apartment available in the heart of Singapore's central business district, directly above Tanjong Pagar MRT station in the middle of the CBD.<br /><br />Now with new cable TV with included all the latest movies and sports packages, Barclays Premier League (BPL) Rugby, Golf, Tennis etc.. broadcast. <br /><br />And new superfast fibre broadband wifi-internet.",https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,Downtown Core,1.27525,103.84524,Private room in condo,Private room,4,1 shared bath,1,1,119,92,73,4.51,4.62,4.63,4.67,4.67,4.85,4.46,TRUE,FALSE,a few days or more,0%,,0.55,Central Region,Fantastic Serviced Apartment in the Singapore CBD
2129215,Luxuriously Spacious Studio Apt.,"Just 4 min from the Kembangan MRT station...a serene and comfy studio apartment! Only 13-25 mins to the city, airport and tourist attractions! Friendly landlord :) Spans 700 sq ft, with a private/individual entrance (separate from the main building), attached bathroom, 4 Star amenities and daily housekeeping (except for certain weekend). Smoking is allowed only just outside the apartment, for a peaceful, tranquil and beautiful atmosphere.",https://a0.muscache.com/pictures/28983571/05a881e8_original.jpg,Bedok,1.31936,103.91663,Entire townhouse,Entire home/apt,5,1 bath,1,3,200,92,369,4.93,4.88,4.94,4.95,4.95,4.8,4.85,FALSE,FALSE,within an hour,100%,,2.77,East Region,Luxuriously Spacious Studio Apt
2142826,Singapore Room for Rent!,"Very clean and Fresh Private Common Room w/ Window. Ideal for Businessman/women (on a tight budget), Medical, Office Staff, Engineering, Hospitality, in a Charming Walk-Up Apartment Located in Central Balestier!",https://a0.muscache.com/pictures/3ae0b345-fa84-4dfd-8374-d23b3a301bb9.jpg,Novena,1.32485,103.85143,Private room in rental unit,Private room,2,2 baths,1,1,929,160,21,4.67,4.65,4.6,4.7,4.7,4.4,4.4,FALSE,FALSE,,,,0.17,Central Region,Singapore Room for Rent
2156372,"Cozy, Many Guests Loved It Here","You have tranquility and convenience. The bus is just downstairs , the mrt and Hougang Mall are both 6 mins walk away. Plenty of food stalls, doctor and dentist clinics within 5 mins walk. Our house is newly renovated. I am a teacher by profession and loves to travel and host.",https://a0.muscache.com/pictures/b124c329-4ce1-4249-9b17-5505cb3f1a32.jpg,Hougang,1.36722,103.89765,Private room in condo,Private room,1,1.5 shared baths,1,1,60,92,16,4.81,4.75,4.56,4.81,4.88,4.06,4.5,FALSE,TRUE,within an hour,100%,100%,0.13,North-East Region,Cozy Many Guests Loved It Here
2387588,"1-Pax Near CBD Private Room, Non-Private Toilet","We are NOT hotel. We are unique loft-design, budget boutique hostel.<br /><br />Train cabin-sized private room (4.26 square meter) for 1 person. Toilets, lounge and pantry area are shared and located outside your room. Rooms are private area with folding doors & communal air-con. We have house rule requesting our guests to lower voice volume 11 pm - 9am daily. <br /><br />Easy Transport, Five-minute walk to three MRT stations: Bendemeer (Blue)/ Lavender (Green)/ Farrer Park (Purple).",https://a0.muscache.com/pictures/miso/Hosting-2387588/original/492d9141-82fa-444b-8ee2-4a36eb649500.jpeg,Kallang,1.3117,103.86028,Private room in hostel,Private room,1,5 shared baths,1,1,81,1,87,4.54,4.48,4.53,4.78,4.79,4.75,4.44,TRUE,FALSE,within an hour,100%,97%,0.68,Central Region,Kallang private room
2387715,"2-pax Near CBD Private Room, Non-Private Toilet","We are NOT hotel. We are unique loft-design, budget boutique hostel.<br /><br />Train cabin-sized air-conditioned private room (6.2 square meter) for 2 person. Toilets, lounge and pantry area are shared and located outside your room. Rooms are private area with folding doors & communal air-con. We have house rule requesting our guests to lower voice volume 11 pm-9am daily. <br /><br />We welcome guests age 6 & above.<br /><br />5-minute walk to three MRT Station: Bendemeer (Blue)/ Lavender (Green)/ Farrer Park (Purple).",https://a0.muscache.com/pictures/miso/Hosting-2387715/original/4e8cfa50-b7b4-4fea-b64b-de47bdd57787.jpeg,Kallang,1.3117,103.86028,Private room in hostel,Private room,2,5 shared baths,1,1,112,1,80,4.58,4.67,4.56,4.92,4.92,4.72,4.55,TRUE,FALSE,within an hour,100%,97%,0.71,Central Region,Kallang private room
2387730,"1-Pax Week Promo Private Room, Non-Private Toilet","We are NOT hotel. We are unique loft-design, budget boutique hostel.<br /><br />Train cabin-sized private room (4.26 square meter) for 1 person. Toilets, lounge and pantry area are shared and located outside your room. Rooms are private area with folding doors & communal air-con. We have house rule requesting our guests to lower voice volume 11 pm - 9am daily. <br /><br />Easy Transport, Five-minute walk to three MRT stations: Bendemeer (Blue)/ Lavender (Green)/ Farrer Park (Purple).",https://a0.muscache.com/pictures/miso/Hosting-2387730/original/5bbde9a4-1c14-450e-8faa-950e24ec1363.jpeg,Kallang,1.3117,103.86028,Private room in hostel,Private room,1,5 shared baths,1,1,81,1,40,4.73,4.75,4.6,4.88,4.88,4.83,4.68,TRUE,FALSE,within an hour,100%,97%,0.36,Central Region,Pax Week Promo Private Room NonPrivate Toilet
2387766,"7-8 Pax Hostel Private Room, Non-Private Toilet","We are NOT hotel. We are unique loft-design, budget boutique hostel.<br />Clean, Comfortable and Homely stay. Conveniently within 3km city.<br /><br />We welcome guests age 6 & above.<br /><br />You tube search: DRMaemeuP1U. <br /><br />Value for Money<br />8-minute Lavender/Bendemeer/Farrer Park 3 MRT stations<br />4 Private sub-rooms - Comfy Bed-Linen <br />Clean Toilets/Showers<br />Relaxing lounge and pantry are shared, outside your rooms<br />Reception/Concierge Services available*<br />House rules applies<br />*Minimum noise disturbance between 11 pm to 9 am",https://a0.muscache.com/pictures/miso/Hosting-2387766/original/24f81812-55ef-4539-a267-88212f000ebe.jpeg,Kallang,1.3117,103.86028,Private room in hostel,Private room,8,3 shared baths,4,5,428,2,27,4.78,4.78,4.67,4.96,4.96,4.7,4.63,FALSE,FALSE,within an hour,100%,97%,0.22,Central Region,Pax Hostel Private Room NonPrivate Toilet
2547778,1950s cozy window singlebed room @ lavender,"+ Note long term 3 month tenancy and above for this room in compliance with local regulations<br />+ Upon booking, pls send me your immigrations pass, work permit, employment pass, student permit, passport, etc for laws compliance before checkin date.<br />- Private lockable singlebed room with great window view<br />- Fully Private, Airconditioned Furnished w singlebed, wardrobe, desk, chair<br />- Basic bedsheet + towel<br />- Free access to 1gbps fibre wifi<br />- Access to 3 bathrooms (shared w 5 others)",https://a0.muscache.com/pictures/miso/Hosting-2547778/original/6784aa29-02b7-4ec6-a423-48d4d0abec28.jpeg,Kallang,1.31117,103.86214,Private room in rental unit,Private room,1,3 shared baths,1,1,38,92,1,4,4,3,5,5,5,3,TRUE,FALSE,a few days or more,17%,100%,0.01,Central Region,1950s cozy window singlebed room lavender
2922184,Awesome 10 min walk to to Haw Par Villa MRT @ NUS,"K2 Guesthouse is situated near NUS / NUH and Buona Vista. The nearest MRT is Haw Par Villa, a 15 mins walk from the hotel. All rooms are beautifully furnished with complete clean linens and clean Common Bathroom. <br /><br />There’s a shared lobby pantry area for sitting and mingling after work, it's a nice outdoor area for a beer after the hot weather cools off!<br /><br />There is a patio/gazebo where guests can relax, eat and have a drink. Right across us there is a supermarket, Asian food, and bars.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjkyMjE4NA%3D%3D/original/676d1555-41c2-491f-af41-3f291ebdbbe4.jpeg,Queenstown,1.2805,103.78439,Room in aparthotel,Private room,1,1 shared bath,1,1,42,90,18,4.28,4.22,4.11,4.56,4.39,4.28,4.22,FALSE,FALSE,within an hour,100%,99%,0.16,Central Region,Awesome to to Haw Par
3034137,Cozy 1 BD linked to MRT (Heartland),"Feel right at home! 1BD with attached Bathroom has 100% privacy.  Location of the apt is conveniently linked to the Subway, local food court( Hawker centres), a mall & supermarkets.  <br />Experience the locals' & neighbourhood's livelihood & atmosphere.",https://a0.muscache.com/pictures/38872688/7d7b3cb9_original.jpg,Hougang,1.35956,103.88423,Private room in rental unit,Private room,1,1 private bath,1,1,97,92,9,4.89,5,4.89,5,5,5,4.78,FALSE,FALSE,within a day,100%,,0.07,North-East Region,Cozy BD linked to
3304326,"Furnished Room Near Airport, Changi BizPark, SUTD","Fully furnished private space with Queen Bed, Private Bath, Smart TV, Air-conditioning, Parking, Gym, Pool, Shuttle to MRT. Within 5-7 mins to Airport / Expo / Changi Business Park by Cab/Bus.  A short stroll from SUTD campus.",https://a0.muscache.com/pictures/3beb9542-f46c-4818-868b-e6e69fda032d.jpg,Tampines,1.34798,103.9617,Private room in condo,Private room,1,1 private bath,1,1,89,92,8,4.75,4.86,4.63,4.88,4.88,4.88,4.63,FALSE,FALSE,,,,0.06,East Region,Tampines private room
3667894,Chinatown at your door: Master Room attach bathroom,"- Lockable Room & Fully Private<br />- Airconditioned, PERSONAL Bathroom + toilet in the room<br />- Doublebed, study table, chair, wardrobes x 2, bar fridge<br />- Simple Bedsheet, Towel<br />- Free Wifi 1gbps<br />- There's 2 non-ensuite, 2 ensuites in this shared big duplex apartment housing 6 expats/occupants<br />- soap and bath gels NOT provided",https://a0.muscache.com/pictures/677436e7-ec15-4bae-b5ca-745366300bbf.jpg,Outram,1.28424,103.84275,Private room in rental unit,Private room,1,1 private bath,1,1,69,92,2,4,4,3.5,4.5,4.5,5,4,TRUE,FALSE,within a day,86%,100%,0.03,Central Region,Outram private room
4069756,DORMS - In the heart of Chinatown!,Ideally located steps away from Chinatown MRT Station. Find a wide range of local food and shopping at your fingertips. There are also many money changers and tour agencies in this area. Complimentary wi-fi and daily local breakfast (food only) is included.<br /><br />> 4 stops to Orchard Road.<br />> 2 stops to Harbourfront (Vivocity and Sentosa)<br />> 2 stops from Little India<br />> 3 stops to Marina Bay Sands.<br />> A short walk to vibrant nightlife of Clarke Quay <br /><br />* We also have FEMALE DORMS & PRIVATE ROOMS. *,https://a0.muscache.com/pictures/74c88094-94ba-4b40-b87b-a91de688c34c.jpg,Outram,1.283,103.84344,Room in hostel,Hotel room,12,4 baths,1,12,31,92,20,4.35,4.45,4.4,4.85,4.7,4.75,4.45,TRUE,FALSE,a few days or more,0%,,0.16,Central Region,Outram hotel room
